FAMILY,RELATIONSHIPS,TRAVEL,TELEPHONE,COOKING,SHOPPING,BUSINESS,CLOTHES,ANIMALS,HOUSE,PARTY,DRIVING,EDUCATION,WORK/JOB,HEALTH,IDEA AND INNOVATION,MONEY,SLEEP,PROBLEMS,CRIME,ENVIRONMENT,Act,Answer,Ask,Back,Be,Beat,Blow,Break,Bring,Call,Carry,Check,Come,Crack,Cut,Fall,Fill,Get,Give,Go,Hang,Hold,Jump,Keep,Kick,Knock,Lay,Live,Let,Look,Make,Mess,Move,Pass,Pick,Play,Pull,Put,Run,See,Send,Set,Speak,Stand,Take,Throw,Turn,Walk,Wash,Work,Try,Think,Spring,A,B,C,D,E,F,G,H-k,L,M-N,O-P,Q-R,S,T,U-W-Y,All
Be named after: Be given the name of another person,Break up: End a relationship,Check in: Arrive and register at a hotel or airport,Break up: To be inaudible over the mobile phone,Bake off: Finish baking partly baked food,Bring down: Reduce the amount of something,Back up: Make a copy of information,Do up: Fasten an item of clothing,Beaver away: Work hard doing something,"Build on: Construct an additional part of to the house, to add more space/rooms/etc…",Blow out: Use your breath to make a flame stop burning,Back up: Make a car go backwards,Be into: Be interested in sth in active way,Burn out: Be extremely tired,Block up: Stop something from moving through something else,"Come up with: Think of or suggest an idea, plan, or solution",Come into: To be left money by somebody who has died,Doze off: Go to sleep especially when you did not intend to,"Deal with: Take the necessary action, especially in order to solve a problem","Break into: Enter a building or car by using force, in order to steal something","Break down: Decompose, when something slowly reduces to its smallest parts",Act on: Act decisively on the basis of information received or deduced,Answer back: Reply impertinently; to talk back,"Ask after: Enquire about someone’s health, how life is going.",Back down: Take a less aggressive position in a conflict than one previously has or has planned to,"Be above: Be too good, classy or mature to do something; to disdain",Beat down: Strike with great force,"Blow away: Cause to go away by blowing, or by wind",Break away: Leave suddenly,Bring about: Cause to take place,Call away: Summon; to cause to depart,Carry off: Transport away,Check out: Confirm and pay for goods and services at a facility when leaving,Come about: Come to pass; to develop; to occur; to take place; to happen,Crack down: Enforce more stringently or more thoroughly,Cut back: Reduce spending,Fall about: Laugh so much that one’s entire body moves somewhat uncontrollably,Fill in: Fill; to replace material that is absent or has been removed,"Get about: Be mobile, physically active",Give away: Make a gift of (something),Go about: Deal with something,"Hang about: Stay, linger or loiter",Hold back: Act with reserve; to contain one’s full measure or power,Jump around: Move erratically by jumping,Keep across: Keep abreast of or up to date with; to keep people informed of,Kick around: Abuse or mistreat; to bully,Knock about: Spend time companionably; to hang around,Lay by: Put away for future use; put aside; store; save; hoard; to build up as savings,Live down: Get used to something shameful,Let down: Allow to descend,Look after: Watch or protect; to keep safe,Make after: Chase,Mess about: Misbehave,Move forward: Make progress,Pass away: Die,Pick apart: Overcome by skilled execution,"Play along: Take part in a charade, deception, or practical joke",Pull ahead: Start being in a winning position (e.g. in a race or competition),Put (effort) into: To try,Run about: Be very busy doing many different things,See in: Welcome,Send away: Dismiss from one’s presence,Set about: Initiate or begin some action,Speak for: Speak on somebody’s behalf,Stand aside: Step sideways to make a space for someone else,Take aback: Surprise or shock; to discomfit,"Throw away: Discard (trash, garbage, or the like), to toss out, to put in the trash, to dispose of",Turn against: Rebel or oppose to something formerly supported,Walk away: Withdraw from a problematic situation,"Wash away: Eliminate, or destroy by fast moving water, such as in a flood, or a high sea","Work on: Shape, form or improve something",Try back: Phone back,Think about/of: Consider something before making a decision,Spring back: Return to original position,Account for: Explain by relating circumstances,"Bail out: Rescue, especially financially","Calm down: Become less excited, intense, or angry",Deal with: Handle verbally or in some form of artistic expression; to address or discuss as a subject,Eat away: Erode or corrode gradually,"Find out: Discover, as by asking or investigating",Gear up: Prepare for an activity,Hand in: Give something to a responsible person,"Lead in: Introduce, to mark the beginning of something, especially in music","Meet up: Meet somebody, by arrangement",Open up: Open,Quiet down: Become quieter,"Scale back: Make a reduction in the amount, extent, etc. of something",Talk down: Negotiate a lower price,"Used to: Accustomed to, tolerant or accepting of",Act on: Act decisively on the basis of information received or deduced
Break up: End a relationship,Fall for: Begin to be in love with someone,Check out: Leave the hotel after paying,Call back: To return a phone call,Boil away: Cause liquid to evaporate completely by boiling,Do up: To fasten something,"Bail out: To rescue somebody from a difficult situation, especially financial problems",Dress down: Wear clothes that are more informal than those you usually wear,Chicken out: Not do something because you’re afraid,"Clean up/ tidy up: Remove the dirt, stains & unwanted material",Blow up: Fill something with air or gas,"Buckle up: Fasten your seat belt in a car, plane etc.",Catch up: Improve and reach the same standard as other people,Call off: Cancel,Break out: Develop skin sores or irritation,Figure out: Think about somebody/something until you understand them/it,"Fork out: Spend a lot of money on something, especially unwillingly","Drop off: Fall asleep easily, without intending to",Knuckle down: Begin to work hard at something,Break out of: Escape from a prison,Cut down: Kill trees,Act on: Affect something,Answer back: Reply to a question at a later time,Ask around (round): Enquire of different people about something,Back into: Rely upon another team’s loss in order to advance to the post-season,Be above: Outrank,Beat down: Haggle with someone to sell at a lower price,Blow away: Disperse or to depart on currents of air,"Break away: Become separated, literally or figuratively","Bring about: Accomplish, achieve",Call down: Pray for; to request from God,"Carry off: Act convincingly; to succeed at giving the impression of (e.g.) knowledge, confidence, or familiarity","Check out: Withdraw (an item), as from a library, and have the withdrawal recorded",Come across: Give an appearance or impression; to project a certain image,Crack down on: Enforce laws or punish (something) more vigilantly,Cut back: Reduce consumption,Fall apart: Disintegrate,"Fill in: Inform somebody, especially to supply someone missing or missed information",Get about: Become widely known,Give away: Formally hand over a bride to the bridegroom; often by her father,Go about: Circulate,Hang about: Spend time or be friends,Hold back: Contain; stop,Jump at: Accept something enthusiastically,Keep around: Keep something near one,Kick around: Wander loose; to float around; to hang around,Knock about: Engage in a relaxing activity in; to hang around in,"Lay down: Give up, surrender, or yield (e.g. a weapon)",Live off: Survive by consuming only a certain thing or things,Let down: Disappoint; to betray or fail somebody,"Look ahead: Consider the future, to anticipate future events",Make away with: Steal,Mess about: Be in a casual non-committal relationship,Move on: Leave somewhere for another place,Pass by: Travel past without stopping,Pick at: Eat unwillingly,"Play around: Behave in a silly, or childish, or irresponsible way",Pull apart: Become separated as a result of pulling,Put across: Explain or state something clearly and understandably,Run across: Cross by running,"See into: Escort into, especially a place of shelter","Send away: Send to a particular place for a long time, as a family member, an employee, etc.",Set about: Attack,"Speak for: Claim, reserve, or occupy",Stand aside: Leave a job or position voluntarily so that someone else can have it instead,Take after: Resemble (a parent or ancestor) in appearance or habit,"Throw away: Waste, to squander",Turn against: Set against or in opposition to something,Walk away: Survive a challenging or dangerous situation without harm,"Wash away: Eliminate, in a figurative sense",Work on: Exercise influence on someone,Try for: Make an attempt to get something,Think ahead: Plan for a future situation; to think carefully about what might happen in the future,Spring on: Surprise someone,Account for: Be the primary cause of,Bail out: Leave (or not attend at all) a place or a situation,Cancel out: Neutralize the effect of something,Deal with: Take action with respect to (someone or something),"Eat into: Consume gradually, especially by erosion","Find out: Discover or expose (someone) as disobedient, dishonest, etc.",Grow up: Mature and become an adult,Hand off: Pass or transfer,Lead off: Be the first batter of an inning,"Miss out: Miss an experience or lose an opportunity, etc. that should not be missed",Open up: Reveal oneself; to become communicative,Quiet down: Make someone or something become quieter,Scare off: Cause (something) to flee by frightening it,Talk into: Convince (someone) by talking and suggesting,Wait for: Wait until the specified event occurs,Act on: Take action against something
Bring sb up: Look after a child until he or she becomes an adult,Fall out: Argue with someone and stop being friendly with them,Drop off: Take someone to a place and leave them there,Call up: Call someone on the phone,Boil down: If a food or liquid boils down it becomes less after it is cooked,"Go with smt: To seem good, natural, or attractive in combination with something",Bottom out: To reaches the lowest level before starting to improve again,Dress up: Dress (oneself or another) in your best clothes,"Clam up: Become silent; to stop talking, to shut up",Hang up: Put your clothes on a hanger to hang in the closet,Dress up: Put on formal clothes for a special occasion,Cut off: Block someone’s way,Copy out: Write sth again exactly as it was written,"Carry out: Do a particular piece of work, research etc",Clog up: Become or cause to become obstructed,Start over: Begin again,Pay back: Give someone the same amount of money that you borrowed from them,Get up: Stop sleeping and leave bed,Run into problems: Start to experience difficulties,Bring in: Bring somebody to a police station in order to ask them questions or arrest them,Die out: Stop existing,Act on: Take action against something,Answer for: Be held responsible for; to take the blame for something,Ask for: Request,Back off: Move backwards away from something,Be along: Arrive,Beat off: Waste time,Blow away: Kill (someone) by shooting them,"Break down: Fail, to cease to function",Bring along: Bring someone or something to certain place.,Call for: Shout out in order to summon (a person),Carry off: Cause death,"Check out: Record (someone) as leaving the premises or as taking something therefrom, as from a library or shop","Come across: Find, usually by accident",Crack on: Continue at a (normally uninteresting) task,Cut down: Bring down by cutting,Fall apart: Be emotionally in crisis,Fill in: Substitute for somebody or something,Get about: Visit a variety of different places,"Give away: Unintentionally reveal a secret, or expose someone",Go across: Move to another side or place,Hang on: Wait a moment (usually imperative),"Hold back: Delay the progress of, especially in school",Jump down: Leave an elevated position to a lower position by one jump,Keep at: Continue with something difficult,Kick back: Relax,Knock about: Be located in or mislaid in,"Lay down: Intentionally take a fall while riding a motorcycle, in order to prevent a more serious collision",Live on: Survive solely by consuming a certain thing,Let in: Let someone or something come in,Look back: Think about something that happened in the past,Make for: To move towards something,Mess about: Play with; to toy with; to waste the time of (a person),Move on: Start dealing with something else,"Pass by :Travel past (something) without stopping; to ignore, to disregard",Pick at: To pull or touch something several times,Play around: Work with in a non-serious manner,Pull apart: Rigorously investigate the basis of an idea or theory,Put aside: Save (money),Run across: Find or discover by chance,See out: Accompany a guest when he or she leaves,"Send away for: Write to a business or other organisation, requesting a thing",Set aside: Separate and reserve something for a specific purpose,Speak for: Represent an intrinsic quality,Stand aside: Temporarily recuse oneself from action or decision-making in some domain,Take against: Stop liking someone; to become unfriendly toward,"Throw down: Cause something one is holding to drop, often forcefully",Turn against: Use to the disadvantage or injury of,Walk away from: Abandon or leave; to shun,"Wash down: Help to swallow by drinking a liquid, after eating something, or taking a pill",Work out: Calculate,Try it on: Provoke someone by being annoying or behaving badly,Think over: Consider something carefully,Spring from/ Spring up: Appear suddenly,Account for: Constitute in amount or portion,"Bail out: Sell all or part of one’s holdings in stocks, real estate, a business, etc.",Catch on: Begin to understand; to realize,"Deal with: Consider, as an example",Eat out: Perform cunnilingus or anilingus,Find out: Uncover a weakness (in someone),Grow up: Start to develop; to flourish,Hand over: Relinquish control or possession of something to someone,Lean on: Put pressure on; to attempt to compel a person to do something; to exert influence on,Mix up: Mix or blend thoroughly and completely,Open up: Commence firing weapons,Quiet down: Diminish in intensity,Scare off: Deter,Talk out of: Talk to someone in order to dissuade them from doing something,Wait for: Await the arrival of,Act on: Affect something
Fall out with sb: Argue with sb and you are no longer friendly with them,Go out: Date someone,Get away: To have a holiday or vacation,Cut off: To interrupt a telephone conversation,Boil over: Cause liquid to rise and flow over the side of the container,Look out for: To watch or check regularly for something or to search for something,Branch out: Expand or extend one’s interests,Dress up: Put on fancy dress in children’s games,Drone on: Talk for a long time in a boring way,Mop up: Use a mop (towel or sponge) to remove liquid from the floor.,Eat out: Eat in a restaurant,Drive by: Do something out of a car,Drop out: Leave school without finishing your studies,"Draw up: Prepare something in writing, especially an official document",Come down with: Become sick (not seriously),Think up: Invent or to imagine something; to produce a new idea,Pay off: Finish paying money owed for something,Go off: Ring,Run up against: Deal with unexpected problems or a difficult opponent,Lock up: Put someone in prison,Rely on: Need or depend on somebody/something,Act out: Express ideas or desires through actions rather than words,Answer for: Guarantee,Ask for: Increase the likelihood of something by persisting in some action; to invite,"Back off: Become less aggressive, particularly when one had appeared committed to act","Be around: Be alive, existent, or present",Beat out: Sound a rhythm on a percussion instrument such as a drum,Blow away: Flabbergast; to impress greatly,"Break down: Render or to become unstable due to stress, to collapse physically or mentally",Bring around: Persuade or convince someone.,Call for: Ask for in a loud voice,Carry on: Continue or proceed as before,"Check out: Examine, inspect, look at closely, ogle; to investigate","Come after: Pursue, follow",Crack on: Continue apace,Cut down: Reduce the amount of something,Fall away: Cease to support a person or cause,Fill in: Beat up; to physically assault,"Get across: Cross; to move from one side (of something) to the other, literally or figuratively","Give away: Concede an advantage in weight, time, height etc.",Go after: Pursue in attempt to catch another,"Hang on: Hold, grasp, or grip",Hold down: Restrain; to check,Jump in: Enter something quickly. Usually a mode of transport,Keep away: Refrain from coming (near),Kick down: Break or demolish something by physical bodily force,Knock about: Hit or behave violently towards,"Lay down: Specify, institute, enact, assert firmly, state authoritatively, establish or formulate",Live on: Endure,Let in on: Disclose information to someone; to tell somebody a secret or share privileged information,Look down on: Regard someone with a feeling of superiority,"Make for: To contribute, to cause, lead to",Mess around: Fiddle idly,Move out: Vacate one’s place of residence or employment,"Pass by: Of a period of time: to come to an end, to elapse",Pick off: Remove by picking,Play at: Pretend to be a different person while playing a game,Pull away: Move ahead,"Put aside: Ignore or intentionally disregard (something), temporarily or permanently",Run after: Chase,See out: Continue something until completion; to watch an activity develop to a conclusion,Send back: Return (something) to its origin,Set back: Delay or obstruct,Speak for oneself: Provide an opinion only on one’s own behalf,Stand back: Maintain a safe distance from a hazard,Take apart: Dismantle something into its component pieces,Throw in: Add something extra free of charge,Turn around: Physically rotate horizontally 360 degrees,Walk in on: Enter suddenly or unexpectedly while something is happening; to intrude or interrupt by entering,Wash down: Wash something completely from top to bottom,Work out: Make sense of,"Try it on: Attempt to get something, usually by deceit, without great hopes of success",Think through: Consider all the possibilities and outcomes of a situation,Spring for: Pay for generously,Account for: Destroy or put out of action,Ball out: Cry intensely; to sob or weep,Catch on: Become popular; to become commonplace; to become the standard,Deal with: Come to terms with; to overcome any difficulties presented by,Eat up: Consume completely,Finish off: Finish completely,Grow up: Stop acting as or like a child,Hand round: Pass something to everyone in a group,Leave behind: Abandon,Mix up: Prepare something from ingredients that are mixed,"Pack away: Store away, place out of the way, or stash, especially for the longer term",Read in: Accept as input,Scarf down: Eat something quickly,Talk over: Persuade someone; to talk around,Wait for: Wait for an event,"Act out: Perform a scene from a play, a charade or an exercise"
"Get along/on with: Have a good, friendly relationship with sb",Look up to: Respect and admire someone,"Get in: Arrive (train, plane)",Get through: To contact by telephone,Bolt down: Eat a large amount of food very quickly,Pay for: Give money in order to buy something,Break into: Enter (with effort or force),Hang out: Dry clothes outside after washing,Duck out: Leave quickly and unannounced,Pick up: Remove something from the floor to put into their proper place,"Go out: Leave home and go somewhere, especially to do something enjoyable",Fill up: Put gasoline in the car until it’s completely full,Fall behind: Make less progress than other people,Fill in for: To do somebody’s job for a short time while they are not there,Come round: Become conscious,,Put aside: Save an amount of money,Lie down: Rest on your back,Sort out: Solve a problem or situation,"Stake out: Watch a place secretly, especially for signs of illegal activity",Run out of: Finish the supply of something,Act out: Express one’s feelings through disruptive actions,Answer for: Vouch for (someone); to attest to the character of (someone),Ask in: Invite someone to enter one’s house,Back off: Lower the setting of,Be around: Be near; to socialize with,Beat out: Extinguish,"Blow down: Knock over with an air current, most often wind",Break down: Render or to become weak and ineffective,Bring around: Bring something with you when you visit.,"Call for: Request, demand","Carry on: Take baggage or luggage onto an airplane, rather than check it",Check out: Prove (after an investigation) to be the case / in order,"Come after: Follow, to succeed, to be the successor of",Crack up: Laugh heartily,Cut off: Stop providing funds to someone,Fall behind: Be late (for a regular event),Fill out: Complete a form or questionnaire with requested information,Get across: Make an idea evident; to successfully explain a thought or feeling; put over,"Give back: Return, restore",Go after: Pursue an object or a goal,Hang on: Keep; to store something for someone,"Hold down: Continue, to hold and to manage well",Jump off: Move from an elevated place by one jump,Keep away: Prevent from coming (near),"Kick in: Start, connect, or take effect, especially in a sudden way",Knock back: Stun; to surprise,"Lay down: Lie down; to place oneself in a reclined or horizontal position, on a bed or similar, for the purpose of resting",Live out: Not reside on the premises of one’s employer,Let off: Cause to explode or come out; to release,Look around: Inspect a building or area,Make into: Cause (the first object) to become (the second object); to change or transform,"Mess around: Joke, kid, or play",Move out: Leave one’s present location,Pass down: Transmit information or give property to younger generations.,Pick off: Shoot one by one,"Play at: Do something in a manner that lacks seriousness, commitment, or professionalism","Pull in: Pull something, so that comes inside",Put asunder: Sunder; disjoin; separate; disunite; divorce; annul; dissolve,Run after: Make a determined effort to win someone’s affections,See through: Find something to be visually transparent,Send back: Remind (someone) of a previous time in the past,Set back: Remove from or allow distance,Speak for oneself: Expressing disagreement with an opinion expressed by another,Stand back: Abstain from participation,Take aside: Get someone alone to talk to them,"Throw off: Confuse; especially, to lose a pursuer",Turn around: Change to the opposite direction from a previous position,Walk into: Collide with,Wash off: Remove (or be removed) by washing,Work out: Smooth,Try on: Put clothes on to see if they fit,"Think up: Create or invent something, such as a story or an excuse",,Account to: Answer to; to be responsible to,Ball up: Crush into a ball shape,Catch up: Entangle,"Deal with: Be in charge of, act on, or dispose of","Eat up: Accept or believe entirely, immediately, and without questioning",Finish off: Kill,,Hash out: Work through the details of something; especially to work through difficulties,Leave behind: Forget about,Mix up: Confuse or reverse,Pack away: To eat (a great deal of food),Read off: Dictate from a list,Sell down: Become less by being sold,Talk over: Interrupt the speech of with one’s own speech,Wait for: Wait for a person to do something,Act out: Perform a fantasy in reality
Get together: Spend time together,Make up: Forgive each other after an argument or disagreement,"Get off: Leave a bus, train, plane",Hang on: Wait for a short time (informal),"Chop up: Cut into pieces, usually with several sharp blows",Pick out: To choose / select,Call back: To return a call or telephone someone again.,Hang up: Put something on a hook or a hanger,Ferret around: Search for something by sorting through materials,"Put away: Put items into their proper place (a drawer, cabinet, etc…)","Hang out: Spend time relaxing, usually with friends",Get out of: Leave,Go over: Check something carefully,Hand in: Give something to a person in authority,Come to: Become conscious,,Put down: Pay part of the cost of something,Lie in: Stay in bed after the time you usually get up,Talk over: Discuss a problem with someone before deciding what to do,"Tip off: Warn somebody about something that is going to happen, especially something illegal","Scale back: Make something smaller in size, amount, etc. than it used to be",Act out: Perform a fantasy in reality,Answer to: Be accountable or responsible to,"Ask out: Invite somebody, especially on a date",Back onto: Reverse a vehicle onto something,"Be cut out for: Be suitable, have the necessary qualities",Beat out: Defeat by a narrow margin,Blow off: Let steam escape through a passage provided for the purpose,"Break down: Decay, to decompose",Bring around: Get someone talking about something.,"Call for: Necessitate, demand",Carry on: Have or maintain,Check up: Verify through brief investigation or examination,Come along: Accompany,Crack up: Cause to laugh heartily,Cut off: End abruptly,Fall behind: Be progressively below average in performance,Fill out: Have one’s physique expand with maturity or with surplus weight,Get after: Move into action in pursuit of something,"Give back: Contribute money, goods or, especially, services for charitable purposes, as if in return for one’s own success",Go against: Violate; to breach; to break,Hang on: Pay close attention,Hold in: Restrain oneself,Jump on: Board a vehicle,Keep away from: Avoid or evade,"Kick in: Contribute, especially to a collection of money",Knock back: Reject; to refuse,Lay low: Topple or overcome; to cause to fall; (of a person) to knock out,Live out: Live some distance away or outside of a town/city,Let off: Forgive and not punish,Look around: Search a place,Make it up to: Pay back; to return someone a previous good deed,"Mess around: Have a sexual relationship, especially one which is non-commital",Move up: Move one’s position to allow others to occupy a place,Pass off: Happen,"Pick off: Dispose of tasks, obstacles, opponents etc. one by one","Play down: Make or attempt to make something seem less important, likely, or obvious",Pull in: Earn,"Put away: Place out of the way, clean up","Run against: Oppose, make difficulties.",See through: Not be deceived by something that is false or misleading,Send down: Suspend or expel (an undergraduate) from university,"Set back: Cost money, as",Speak for oneself: Have obvious meaning; to require no explanation,Stand by: Wait in expectation of some event; to make ready,Take away: Remove something and put it in a different place,Throw off: Introduce errors or inaccuracies; to skew,"Turn around: Reverse the expected outcome of a game, usually from a losing position to a winning one","Walk into: Fall into (a trap), especially one that could have been avoided with more care",Wash out: Remove something by washing,Work out: Conclude with the correct solution,Try out: Test,,,Admire to: Be enthusiastic about doing,Ball up: Coil up into a ball,Catch up: Be brought up to date with news,Deal with: Behave in a certain way towards,,Finish up: Complete the last details of a task,,Head off: Begin moving away,Leave behind: Not live longer than; to be survived by,Mix up: Combine thoroughly,"Pack off: Send away, with belongings, for a long time",Read out: Read something and say the words to inform other people,Sell out: Sell all of a product that is in stock,Talk through: Tell someone step by step how to do something,Wait for: Serve someone,Act out: Express one’s feelings through disruptive actions
Go by: Prefer to be called by a particular name,Put down: Say bad things about someone; to insult,"Get on: Enter a bus, train, plane, to climb on board",Hang up: End a telephone call by breaking the connection,Cook away: Slow cooking; to cook slowly over a long period of time,Pop into: To visit briefly,Call off: Cancel something,Have on: Wear an item of clothing on one’s person,Ferret out: Discover information by searching for it in a determined way,Put on (music): Turn on the radio or some music,"Pick up: Meet someone at their home to go somewhere, often in a car",Knock down: Hit somebody and make them fall to the ground,Go over: Practise and repeat something in order to learn it,Knock off: Stop working,Dose up (UK): Give medicine to,,Rip off: Charge too much,Sleep in: Sleep longer than wanted,Think through: Think carefully about the possible results of something,,Spread out: Cover a large area,"Act out: Perform a scene from a play, a charade or an exercise",Answer to: Justify oneself to (someone),Ask round: Invite someone to your house,Back onto: Overlook something from the rear,Be down: Be depressed,"Beat up: Give a severe beating to, to assault violently hitting the victim repeatedly",Blow off: Shirk or disregard,"Break down: Divide into parts to give more details, to provide a more indepth analysis of",Bring back: Fetch something,Call for: Stop at a place and ask for (someone),Carry on: Act or behave; especially to misbehave so as to attract attention,Check up on: Examine or inspect something in order to determine its condition,Come along: Progress; to make progress,Crack up: Become insane; to suffer a mental break down,Cut off: Interrupt (someone speaking),"Fall down: Fall to the ground, to collapse",Fill up: Fill the tank of a vehicle with fuel,Get after: Move into action in attempt to catch or defeat another,Give forth: Emit or release something,Go against: Be unfavourable to someone,Hang on: Continually believe in something; to have faith in,Hold off: Delay someone or something temporarily; to keep at bay,"Jump on: Attack verbally, to criticise excessively",Keep away from: Deny (someone) access to,Kick off: Make the first kick in a game or part of a game,"Knock down: Hit or knock (something), intentionally or accidentally, so that it falls","Lay off: Cease, quit, stop (doing something)",Live out: Fulfill or act out a dream or fantasy or aspiration,"Let on: Reveal, disclose, or divulge",Look around: Turn one’s head to see what is behind oneself,Make of: Form an opinion about (someone or something),"Mess up: Make a mess of; to untidy, disorder, soil, or muss",,Pass off: Misrepresent something,"Pick on: Bully, harass or make fun of a victim; to bother or harass","Play off: Pretend not to be embarrassed, upset, impressed or otherwise affected by something",Pull in: Approach a station,"Put away: Store, add to one’s stores for later use",Run along: Leave; to make one’s way somewhere else,See through: Provide support or cooperation to (a person) throughout a period of time,Send down: Commit (someone) to a prison term,Set down: Write,Speak of: Bespeak; show; indicate; foretell; suggest,Stand by: Remain loyal or faithful to,"Take away: Remove something, either material or abstract, so that a person no longer has it",Throw on: Hastily put on (clothes),"Turn around: Reverse a trend, usually towards a more favorable outcome",Walk it off: Recover from (a minor injury) or digest (a large meal) by walking around,Wash out: Wear away by the flow of water; to erode,Work out: Succeed,Try out: Test something to see if you like it or want to buy it,,,Adopt out: Send a son or daughter away to live in another country,Ball up: Hunch over and pull in one’s arms and legs,Catch up: Bring someone else up to date with the news,Do for: Doom; to bring about the demise of,,"Finish with: Put aside, break all relations with, or reject finally",,Head off: Intercept,Leave behind: Leave (a trace of something),"Mix up: Become involved with, especially socially or romantically",Pack out: Fill with spectators,Read out: Read some data and inform the person using the device,Sell out: Abandon or betray one’s supporters or principles to seek profit,Talk through: Comfort someone as they endure trauma; to help someone consider an issue or see certain aspects of it,Wait up: Wait,Act out: Express ideas or desires through actions rather than words
Grow apart: Stop having a close relationship with somebody over a period of time,Put up with: Tolerate; accept an unpleasant situation without complaining,Go back: Go the place someone is leaving from to say goodbye,Hold on: Wait for a short time,Cut off: Remove something by cutting it,Put on: To see something is worth trying,Carry on: Continue,Kick off: Make your shoes come off by shaking your feet,Fish for: Ask for or try to get something in an indirect way,Put on: Get dressed,Pull off: Succeed in doing something that is difficult,Pick up: Take someone in vehicle,Hand in/turn in: Give your finished work to a teacher,Knuckle down: Start working harder,Fight off: Resist an illness,,Run up: Create lots of debt,Sleep on it: Delay making a decision until the following day,Wrestle with: Try to understand or find a solution to a difficult problem,,Throw away: Get rid of something that you no longer want or need,Act up to: Equal in action; fulfill in practice,Answer to: Respond to (a name); to treat as one’s own name,Ask over: Invite them to come from their house to your house,Back out: Reverse a vehicle from a confined space,Be down to: Be reduced or less,Beat up: Feel badly guilty and accuse oneself over something,Blow off: Forcibly disconnect something by use of a firearm or explosive device,Break down: Digest,Bring back: Cause someone to remember something from the past,"Call in: Communicate with a base etc, by telephone",Carry on: Have an illicit sexual relationship,,"Come apart: Break, separate",Crack up: Cry up; to extol,Cut off: Turn off or switch off (an electrical device),Fall down: Fail,"Fill up: Annoy, or displease, by taunting, or by excessive nagging",Get after: Attempt to convince another to move into action,Give forth: Give off an emanation,"Go against: Be contrary to a trend, feeling or principle",Hang on: Persevere,Hold off: Delay commencing,Jump out: Be obviously different or special; to capture an observer’s attention at once,Keep back: Maintain a safe distance,Kick off: Start; to launch,Knock down: Demolish,"Lay off: Stop bothering, teasing, or pestering someone; to leave (someone) alone",Live out: Pass time or to pass the remainder of one’s life,Let out: Release,Look at: Consider,Make off: Leave somewhere in a hurry,Mess up: Cause a problem with; to introduce an error or mistake in; to make muddled or confused; spoil; ruin,,Pass on: Convey or communicate,"Pick on: Select (a person) for a task, etc.","Play out: Play music to accompany the end of, or as a final segment in (a programme, broadcast etc.)",Pull off: Remove by pulling,"Put away: Consume (food or drink), especially in large quantities",Run around: Be very busy doing many different things,See through: Do something until it is finished,Send down: Demote a player within the levels of professional baseball,Set forth: Begin a journey or expedition,Speak out: Assert or promote one’s opinion; to make one’s thoughts known,Stand by: Support; to continue to support despite things being bad,Take away: Subtract or diminish something,Throw out: Discard; to dispense with something; to throw away,Turn around: Be duplicitous,Walk out: Go out with; to be romantically involved,Wash out: Cancel due to bad weather,"Work out: Habitually exercise rigorously, especially by lifting weights, in order to increase strength or muscle mass or maintain fitness",Try out: for Be tested for a sports team,,,"Age out: Become too old for an activity, program or institution; to become too mature for a behavior",Balls up: Do something badly. To ruin a job,Catch up: Reach something that had been ahead,Do in: Kill or end,,Finish with: Complete; to complete use of,,Head off: Avoid some usually negative consequence,Leave behind: Outdo; to progress faster than (someone or something else),Monkey around: Act foolishly,Pack up: Move one’s residence,Rely on: Be confident in,"Sell out: Betray a person, usually a close friend or family member, for personal gain",Think back: Think about a time or experience; to recall,Wait upon: Wait on; to serve,Act up: Misbehave; cause trouble
